Date,Product_Category,Region,Units_Sold,Unit_Price,Total_Sales
2024-01-01,Electronics,North,20,100,2000
2024-01-02,Clothing,South,35,40,1400
2024-01-03,Groceries,East,50,10,500
2024-01-04,Furniture,West,40,200,8000
2024-01-05,Electronics,North,25,150,3750
2024-01-06,Clothing,South,45,45,2025
2024-01-07,Groceries,East,55,12,660
2024-01-08,Furniture,West,30,220,6600
2024-01-09,Electronics,North,15,110,1650
2024-01-10,Clothing,South,60,50,3000
2024-01-11,Groceries,East,65,11,715
2024-01-12,Furniture,West,70,180,12600
2024-01-13,Electronics,North,40,105,4200
2024-01-14,Clothing,South,20,60,1200
2024-01-15,Groceries,East,50,15,750
2024-01-16,Furniture,West,60,210,12600
2024-01-17,Electronics,North,30,115,3450
2024-01-18,Clothing,South,35,55,1925
2024-01-19,Groceries,East,45,14,630
2024-01-20,Furniture,West,55,190,10450
2024-01-21,Electronics,North,25,120,3000
2024-01-22,Clothing,South,65,42,2730
2024-01-23,Groceries,East,75,13,975
2024-01-24,Furniture,West,20,170,3400
2024-01-25,Electronics,North,30,130,3900
2024-01-26,Clothing,South,50,46,2300
2024-01-27,Groceries,East,40,12,480
2024-01-28,Furniture,West,45,160,7200
2024-01-29,Electronics,North,35,135,4725
2024-01-30,Clothing,South,55,49,2695
